V1,V2,V3,V4,V5,V6,all_text.df
13.605 kr/md,Ubegrænset,Lejlighed,Viby J,120 m²,4 værelser,"Lejlighed, Drosbjerg, 8260 Viby J.                          Antal værelser: 4  Antal m2: 120  Husleje. 13.605 kr.  Post nummer: 8260  By: Viby J  Kontoret har åbent mandag-torsdag fra 09.00 - 16.00 og fredag fra 09.00 - 15.00                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: Kontakt udlejer                                  A/C-forbrug: Kontakt udlejer                              Ledig: Straks                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1493762"
17.500 kr/md,Ubegrænset,Lejlighed,Aarhus C,161 m²,5 værelser,"Lejlighed, Stadion Allé, 8000 Aarhus C, etage: 2 TV.                          Hvis du er interesseret i lejemålet eller vil se flere detaljer, kan du klikke på knappen til højre.                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: 17.500                                  A/C-forbrug: Kontakt udlejer                              Ledig: Straks                                  Indrykket: 25. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1503630"
16.630 kr/md,Ubegrænset,Lejlighed,Aarhus C,132 m²,1 værelser,"Lejlighed, Hans Broges Gade, 8000 Aarhus C.                          På det populære Frederiksbjerg, på Hans Broges Gade, udlejes nu denne helt unikke, moderne lejlighed i New Yorker look. Lejligheden er i løbet af de sidste år gennemgående renoveret med respekt for lejlighedens oprindelige stil men også med den moderne, let rå, stil for øje. På denne måde kombinerer man her plankegulve, smuk oprindelig stuk og rå murstensvægge på en flot og elegant facon.  Lejligheden udlejes delvist møbleret med en møblering, der passer flot til lejlighedens udtryk. Møbleringen indeholder ikke senge og køkkenservice/udstyr. Lejligheden kan ligeledes lejes umøbleret efter ønske.  Et lækkert hjem for det moderne menneske, der ønsker at bo godt og centralt i Aarhus.  Lejligheden består af en lang fordelingsgang, hvorfra stuer og værelser fordeler sig, som munder ud i et rummeligt, lækkert køkken-/alrum med udgang til en nyere altan mod gården. Køkken-/alrummet har et hvidmalet plankegulv, rå murstensvægge i hver ende af rummet og et delvist råt loft, som, i sammenhæng med de øvrige pudsede og hvidmalede vægge og lofter, hvide køkkenelementer og gamle istandsatte københavner-lamper, kombinerer stilene på fineste vis. I midten af rummet står et flot, sortlakeret plankebord med 6 gode stole.  Altanen, som ligger mod en hyggelig og rolig karré, er udstyret med bord/bænk og grill.  Derudover består lejligheden af et godt soveværelse, badeværelse med separat brus samt 2 sammenhængende stuer. Stuerne er indrettet dels som dagligstue med TV-/sofa-arrangement og hyggekrog i den ene samt kontor i den anden. Fra første stue, som har det smukkeste stuk i loftet og hyggelig karnap, er der udgang til en lille altan med udsigt over gadens pulserende liv.  Området omkring Frederiksbjerg er, specielt de senere år, blevet enormt attraktivt. De små hyggelige gader, nærheden til grønne områder, skov og strand, torvedage på Ingerslev Boulevard og småspecialbutikker, caféer og restauranter øger attraktiviteten i kvarteret. Her er man centralt i Aarhus og tæt til det meste uden helt at føle det.  Lejligheden udlejes pr. 1. april 2019 for en periode på 3 år.  Forbrug:  A conto varme: kr. 860  El betales særskilt til forsyningsværk.  TV/internet bestilles og betales individuelt.                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: 49.890                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. april 2019                                  Indrykket: 25. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1451947"
7.838 kr/md,Ubegrænset,Lejlighed,Randers C,90 m²,3 værelser,"Lejlighed, Prinsessegade, 8900 Randers C.                          Afdelingen ligger ca. 5 min. gang til Randers centrum. Tøjhushavekvarteret har været med i en såkaldt ""kvarterløft-plan"" siden 1997. 16 stk, 2-rums almene familieboliger i etagebyggeri, beliggende Dronningensgade 19 i Randers.  Remisen er et beboerhus med lokaler af forskellig størrelse (fra mødelokaler til 8-10 personer til en sal med plads til 200 personer ) samt hal til værkstedsaktiviteter. Lokalerne kan lejes ud til alle. Boligernes indretning er kørestolsbrugervenlig.  Boligernes indretning er kørestolsbrugervenlig. Alle boliger har komfur, emhætte og forberedt til vaskemaskine. I alle boliger er de r åbent køkken. El opkræves af energi Randers. Fællesantenne afregnes direkte til TDC Kabel Tv.  Afdeling 758.0 Prinsessegade  Etagebyggeri der er bygget i 3 etager med 21 boliger fordelt på 1, 2 og 3 værelses lejligheder. Afdelingen ligger ca. 5 min. gang til Randers centrum. Tøjhushavekvarteret har været med i en såkaldt ""kvarterløft-plan"" siden 1997. Remisen er et beboerhus med lokaler af forskellig størrelse (fra mødelokaler til 8-10 personer til en sal med plads til 200 persone r) samt hal til værkstedsaktiviteter. Lokalerne kan lejes ud til alle.  Alle boliger har komfur, emhætte og forberedt til vaskemaskine. I alle boliger er der åbent køkken.  Det er tilladt at holde én hund i Dronningensgade, dog ingen husdyr i Prinsessegade..                                                                                                                                                                                      Forudbetalt leje: 0                                  Depositum: 27.900                                  A/C-forbrug: 936                              Ledig: Straks                                  Indrykket: 25. februar 2019                              Husdyr tilladt                               Sagsnummer: 1499703"
2.000 kr/md,Ubegrænset,Værelse,Randers NV,25 m²,1 værelser,"Værelse, Vestmarken, 8920 Randers NV.                          Antal værelser: 1  Antal m2: 25  Husleje. 2.000 kr.  Post nummer: 8920  By: Randers NV                                                                                                                                                                                      Forudbetalt leje: 4.000                                  Depositum: 2.000                                  A/C-forbrug: 500                              Ledig: Straks                                  Indrykket: 25. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1499559"
4.625 kr/md,Ubegrænset,Lejlighed,Randers NØ,74 m²,3 værelser,"Lejlighed, Benzonvej, 8930 Randers NØ, etage: st. tv.                          Antal værelser: 3  Antal m2: 74  Husleje. 4.625 kr.  Indskud: 15.008 kr.  Post nummer: 8930  By: Randers NØ                                                                                                                                                                                      Forudbetalt leje: 15.008                                  Depositum: 15.008                                  A/C-forbrug: 978                              Ledig: 15. april 2019                                  Indrykket: 25. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1500704"
9.208 kr/md,Ubegrænset,Lejlighed,Aarhus C,65 m²,3 værelser,"Lejlighed, Ceresbyen, 8000 Aarhus C, etage: st.                          Antal værelser: 3  Antal m2: 65  Husleje. 9.208 kr.  Indskud: 27.625 kr.  Post nummer: 8000  By: Aarhus C                                                                                                                                                                                      Forudbetalt leje: 9.208                                  Depositum: 27.625                                  A/C-forbrug: 201                              Ledig: 15. april 2019                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1506601"
9.700 kr/md,Ubegrænset,Lejlighed,Risskov,85 m²,2 værelser,"Lejlighed, Vindrosen, 8240 Risskov, etage: st. 3.                          Antal værelser: 2  Antal m2: 85  Husleje. 9.700 kr.  Indskud: 29.100 kr.  Post nummer: 8240  By: Risskov                                                                                                                                                                                      Forudbetalt leje: 9.700                                  Depositum: 29.100                                  A/C-forbrug: 496                              Ledig: 1. marts 2019                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1497051"
5.172 kr/md,Ubegrænset,Lejlighed,Randers C,66 m²,2 værelser,"Lejlighed, Sennelsgade, 8900 Randers C, etage: tv.                          Antal værelser: 2  Antal m2: 66  Husleje. 5.172 kr.  Indskud: 15.516 kr.  Post nummer: 8900  By: Randers  Hvis du er interesseret i lejemålet eller vil se flere detaljer, kan du klikke på knappen til højre.                                                                                                                                    Energimærke:                                                                                                  Forudbetalt leje: 15.516                                  Depositum: 15.516                                  A/C-forbrug: 700                              Ledig: 15. april 2019                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1503610"
5.030 kr/md,Ubegrænset,Lejlighed,Randers C,66 m²,2 værelser,"Lejlighed, Sennelsgade, 8900 Randers C.                          Antal værelser: 2  Antal m2: 66  Husleje. 5.030 kr.  Indskud: 15.090 kr.  Post nummer: 8900  By: Randers  Hvis du er interesseret i lejemålet eller vil se flere detaljer, kan du klikke på knappen til højre.                                                                                                                                    Energimærke:                                                                                                  Forudbetalt leje: 15.090                                  Depositum: 15.090                                  A/C-forbrug: 700                              Ledig: 1. april 2019                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1473877"
4.050 kr/md,Ubegrænset,Lejlighed,Grenaa,77 m²,3 værelser,"Lejlighed, Storegade, 8500 Grenaa.                          Antal værelser: 3  Antal m2: 77  Husleje. 4.050 kr.  Indskud: 12.150 kr.  Post nummer: 8500  By: Grenaa  Hvis du er interesseret i lejemålet eller vil se flere detaljer, kan du klikke på knappen til højre.                                                                                                                                    Energimærke:                                                                                                  Forudbetalt leje: 4.050                                  Depositum: 12.150                                  A/C-forbrug: 600                              Ledig: 15. marts 2019                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1367898"
9.900 kr/md,Ubegrænset,Hus/villa,Randers NV,125 m²,3 værelser,"Hus/villa, Elrovej, 8920 Randers NV.                          Antal værelser: 3  Antal m2: 125  Husleje. 9.900 kr.  Indskud: 29.700 kr.  Post nummer: 8920  By: Randers NV                                                                                                                                                                                      Forudbetalt leje: 0                                  Depositum: 29.700                                  A/C-forbrug: 1.000                              Ledig: Efter aftale                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1503599"
5.172 kr/md,Ubegrænset,Lejlighed,Randers C,66 m²,2 værelser,"Lejlighed, Sennelsgade, 8900 Randers C.                          Antal værelser: 2  Antal m2: 66  Husleje. 5.172 kr.  Indskud: 15.516 kr.  Post nummer: 8900  By: Randers  Hvis du er interesseret i lejemålet eller vil se flere detaljer, kan du klikke på knappen til højre.                                                                                                                                                                                      Forudbetalt leje: 15.516                                  Depositum: 15.516                                  A/C-forbrug: 897                              Ledig: 15. april 2019                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1503608"
5.030 kr/md,Ubegrænset,Lejlighed,Randers C,66 m²,2 værelser,"Lejlighed, Sennelsgade, 8900 Randers C.                          Antal værelser: 2  Antal m2: 66  Husleje. 5.030 kr.  Indskud: 15.090 kr.  Post nummer: 8900  By: Randers  Hvis du er interesseret i lejemålet eller vil se flere detaljer, kan du klikke på knappen til højre.                                                                                                                                                                                      Forudbetalt leje: 15.090                                  Depositum: 15.090                                  A/C-forbrug: 897                              Ledig: 1. april 2019                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1473860"
4.050 kr/md,Ubegrænset,Lejlighed,Grenaa,77 m²,3 værelser,"Lejlighed, Storegade, 8500 Grenaa.                          Antal værelser: 3  Antal m2: 77  Husleje. 4.050 kr.  Indskud: 12.150 kr.  Post nummer: 8500  By: Grenaa  Hvis du er interesseret i lejemålet eller vil se flere detaljer, kan du klikke på knappen til højre.                                                                                                                                                                                      Forudbetalt leje: 4.050                                  Depositum: 12.150                                  A/C-forbrug: 600                              Ledig: 15. marts 2019                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1316499"
9.533 kr/md,Ubegrænset,Lejlighed,Aarhus N,87 m²,3 værelser,"Lejlighed, Herluf Trolles Gade, 8200 Aarhus N, etage: kld.                          Antal værelser: 3  Antal m2: 87  Husleje. 9.533 kr.  Indskud: 28.600 kr.  Post nummer: 8200  By: Aarhus N                                                                                                                                            Delevenlig                                                                                                                        Forudbetalt leje: 9.533                                  Depositum: 28.600                                  A/C-forbrug: 500                              Ledig: Straks                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1503607"
8.950 kr/md,Ubegrænset,Lejlighed,Silkeborg,86 m²,3 værelser,"Lejlighed, Markedsgade, 8600 Silkeborg.                          I hjertet af Silkeborg centrum udlejes lækker penthouse lejlighed på 86 m2.  Lejligheden er indrettet med flot hvidt Invita køkken i åben forbindelse med køkken/alrum og stue.  Lyst dejligt soveværelse med adgang til lækkert badeværelse med sorte klinker og gulvvarme.  Leligheden rummer også ekstra værelse. Der er flotte lyse trægulve overalt, og fra alle rum er der udgang til en af lejlighedens to store altaner  Der er gjort klar til vaskemaskine og tørretumbler i badeværelset.  Der er YouSee kabeltv/bredbånd. I ejendommen er der dørtelefon og elevator.  Mulighed for leje af p-plads.                                                                                                                                                                                      Forudbetalt leje: 8.950                                  Depositum: 26.850                                  A/C-forbrug: 700                              Ledig: 1. maj 2019                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1329217"
5.975 kr/md,Ubegrænset,Lejlighed,Aarhus C,44 m²,1 værelser,"Lejlighed, Bissensgade, 8000 Aarhus C.                          Antal værelser: 1  Antal m2: 44  Husleje. 5.975 kr.  Post nummer: 8000  By: Aarhus C  Kontoret har åbent mandag-torsdag fra 09.00 - 16.00 og fredag fra 09.00 - 15.00                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: Kontakt udlejer                                  A/C-forbrug: 500                              Ledig: 15. marts 2019                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1507080"
8.554 kr/md,Ubegrænset,Lejlighed,Viby J,67 m²,3 værelser,"Lejlighed, Drosbjerg, 8260 Viby J, etage: 1. th.                          Antal værelser: 3  Antal m2: 67  Husleje. 8.554 kr.  Post nummer: 8260  By: Viby J  Kontoret har åbent mandag-torsdag fra 09.00 - 16.00 og fredag fra 09.00 - 15.00                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: Kontakt udlejer                                  A/C-forbrug: 350                              Ledig: 1. marts 2019                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1507079"
9.470 kr/md,Ubegrænset,Lejlighed,Aarhus N,81 m²,3 værelser,"Lejlighed, Paludan-Müllers Vej, 8200 Aarhus N, etage: 1.                          Dejlig lys 3 værelse lejlighed med en rigtig god indretning, indeholder: Rummelig fordelingsentré med adgang til pænt køkken og dejligt badeværelse med vindue. Stor, lys opholdsstue med udgang til altan. Endvidere dejligt, stort soveværelse og ekstra værelse/kontor. Lejligheden har hvide vægge og lofter samt lyse parketgulve.  Der er fælles vaskeri i kælderen.  Lejligheden udlejes ikke til personer registreret i RKI.  Kontakt os alle hverdage mellem kl. 9-15 og aftal en tid for en fremvisning.                                                                                                                                                                                      Forudbetalt leje: 9.470                                  Depositum: 28.410                                  A/C-forbrug: 500                              Ledig: Straks                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1460622"
4.200 kr/md,Ubegrænset,Lejlighed,Langå,68 m²,2 værelser,"Lejlighed, Væthvej, 8870 Langå.                          Antal værelser: 2  Antal m2: 68  Husleje. 4.200 kr.  Indskud: 12.600 kr.  Post nummer: 8870  By: Langå                                                                                                                                                                                      Forudbetalt leje: 4.200                                  Depositum: 12.600                                  A/C-forbrug: 750                              Ledig: Efter aftale                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1499665"
14.995 kr/md,Ubegrænset,Lejlighed,Aarhus C,123 m²,4 værelser,"Lejlighed, Borggade, 8000 Aarhus C, etage: 3. 1.                          Antal værelser: 4  Antal m2: 123  Husleje. 14.995 kr.  Indskud: 44.985 kr.  Post nummer: 8000  By: Aarhus C                                                                                                                                            Delevenlig                                                                                                                        Forudbetalt leje: 14.995                                  Depositum: 44.985                                  A/C-forbrug: 700                              Ledig: Straks                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1448288"
12.150 kr/md,Ubegrænset,Lejlighed,Aarhus C,128 m²,5 værelser,"Lejlighed, Stadion Allé, 8000 Aarhus C, etage: st  th.                          Lejligheden er indrettet med hårde hvidevarer, bestående af Køle/ fryseskab, emhætte og komfur. Desuden er der fælles vaskekælder, cykelparkering i kælderen, fælles gårdanlæg samt Loft/ kælderrum. Tæt på indkøbs muligheder på Frederiks bjerg, samt 10 minutters gang fra Bruun Galleri/ banegården som er tæt beliggende med mange hyggelige restauranter og barer. Gå afstand til Tivolifriheden og Ceres park arena der året rundt afholder mange arrangementer indenfor både sport, musik og andre kulturrige oplevelser. Cykelafstand til uddannelses institutter som Aarhus universitet, erhvervs akademiet, Navitas og Via University college.OBS: Udlejes ikke som delelejlighed. Husdyr ikke tilladt.                                                                                                                                                                                      Forudbetalt leje: 36.450                                  Depositum: 36.450                                  A/C-forbrug: 1.100                              Ledig: 19. april 2019                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1506340"
8.084 kr/md,Ubegrænset,Lejlighed,Brabrand,76 m²,2 værelser,"Lejlighed, J.P. Larsens Vej, 8220 Brabrand, etage: st. 3.                          Antal værelser: 2  Antal m2: 76  Husleje. 8.084 kr.  Indskud: 23.707 kr.  Post nummer: 8220  By: Brabrand                                                                                                                                                                                      Forudbetalt leje: 7.902                                  Depositum: 23.707                                  A/C-forbrug: 440                              Ledig: 1. marts 2019                                  Indrykket: 25. februar 2019                              Husdyr tilladt                               Sagsnummer: 1502037"
8.975 kr/md,Ubegrænset,Lejlighed,Hadsten,104 m²,2 værelser,"Lejlighed, Futuravej, 8370 Hadsten.                          Ejendommen ligger smukt med meget velholdt udenomsarealer. Ejendommen ligger centralt i Hadsten og er opført som punkthuse med 4 lejligheder i hver - tæt ved busforbindelser og tog.  Stor, lys lejlighed på 1. sal med 2 værelser og køkken alrum / stue. Flot badeværelse med bruseniche og væghængt toilet. Der forefindes vaskemaskine og tørretumbler, som står i et lille bryggers i forbindelse med badeværelset.  Derudover forefindes alle hårde hvidevarer i køkkenet i form af køle/frys, komfur, emhætte og opvaskemaskine.  Der er udgang til en dejlig altan fra køkken alrum samt fra værelserne.  Der er eget depotrum.  Forbrug betales direkte til værkerne, dog betales vandafledning aconto til udlejer.                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: 26.925                                  A/C-forbrug: 300                              Ledig: 1. april 2019                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1500501"
8.338 kr/md,Ubegrænset,Lejlighed,Aarhus C,53 m²,2 værelser,"Lejlighed, Paradisgade, 8000 Aarhus C, etage: 1. 10.                          Antal værelser: 2  Antal m2: 53  Husleje. 8.338 kr.  Indskud: 25.015 kr.  Post nummer: 8000  By: Aarhus C                                                                                                                                                                                      Forudbetalt leje: 8.338                                  Depositum: 25.015                                  A/C-forbrug: 700                              Ledig: Straks                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1448300"
3.316 kr/md,Ubegrænset,Lejlighed                  Ungdomsbolig,Grenaa,50 m²,2 værelser,"Lejlighed, Østerbrogade, 8500 Grenaa.                          Etagebyggeri opført med 53 ungdomsboliger i 6 etager med elevator. Ungdomsboligerne er en blanding af 2 rums boliger samt dubletter (1 værelse med fælles køkken og bad, som deles med én anden studerende).  Der er fælles terrasse på 4. sal.  Afdelingen ligger tæt på skoler, idrætsanlæg, handlemuligheder og centrum. For at kunne leje en ungdomsbolig, skal man være under uddannelse.  Der er røgfrit miljø i hele bygningen - også i lejlighederne.  Er du beboer, så bliv medlem af facebookgruppen B45 - Afdeling 43.  Denne bolig er en del af et almennyttigt boligselskab, vær derfor opmærksom på reglerne omkring dette.                                                                                                                                            Ungdomsbolig                                                                                                      Se plantegning                                    Forudbetalt leje: Kontakt udlejer                                  Depositum: 20.600                                  A/C-forbrug: Kontakt udlejer                              Ledig: Straks                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1389694"
13.036 kr/md,Ubegrænset,Lejlighed,Aarhus C,97 m²,4 værelser,"Lejlighed, Otto Brandenburgs Gade, 8000 Aarhus C, etage: 1. th.                          Antal værelser: 4  Antal m2: 97  Husleje. 13.036 kr.  Indskud: 40.200 kr.  Post nummer: 8000  By: Aarhus C                                                                                                                                            Delevenlig                                                                                                                        Forudbetalt leje: 13.400                                  Depositum: 40.200                                  A/C-forbrug: 1.364                              Ledig: 1. oktober 2019                                  Indrykket: 25. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1507028"
8.350 kr/md,Ubegrænset,Lejlighed,Aarhus C,71 m²,2 værelser,"Lejlighed, Søndre Ringgade, 8000 Aarhus C, etage: 3.                          Med rigtig god central beliggenhed kan vi tilbyde denne 2 værelses lejlighed. Lejligheden er godt indrettet og indeholder fordelingsentré med adgang til moderniseret badeværelse. Pænt køkken. Dejlig opholdsstue og soveværelse. Der er altan til lejligheden.  Kort afstand til indkøb og offentlig transport.  Der er fælles vaskeri i ejendommens kælder.  Der er ikke elevator i ejendommen.  lejligheden udlejes ikke som delelejlighed og ikke til personer registreret i RKI.                                                                                                                                                                                      Forudbetalt leje: 8.350                                  Depositum: 250.250                                  A/C-forbrug: 500                              Ledig: Straks                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1495034"
8.955 kr/md,Ubegrænset,Lejlighed,Aarhus C,68 m²,2 værelser,"Lejlighed, Skovvejen, 8000 Aarhus C, etage: 3.                          2 værelses lejlighed med suveræn beliggenhed tæt på UNI, midtbyen og med kort afstand til skov og strand. - Lejligheden er perfekt indrettet som delelejlighed med 2 lige store værelser, begge med faste skabe.   Køkken og dejligt badeværelse.  Gode faciliteter med stor lækker fælles terrasse, cykelkælder, pulterrum, vaskekælder.I ejendommens stueetage ligger Netto, så der er dejlig nemt til indkøb.                                                                                                                                    Energimærke:                                                        Delevenlig                                                                                                                        Forudbetalt leje: 8.955                                  Depositum: 26.865                                  A/C-forbrug: 800                              Ledig: Straks                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1450519"
8.955 kr/md,Ubegrænset,Lejlighed,Aarhus C,62 m²,2 værelser,"Lejlighed, Skovvejen, 8000 Aarhus C, etage: 4.                          2 værelses lejlighed - perfekt indrettet som delelejlighed med 2 lige store værelser, begge med faste skabe. Lejligheden ligger på 4. sal og med den flotte udsigt over Århus Havn.  Køkken med plads til lille spisekrog. Dejligt badeværelse.  Gode faciliteter: Stor fælles terrasse, cykelkælder, pulterrum, vaskekælder. Der er elevator i ejendommen. Indkøb lige ved døren.  Kort afstand til UNI, skoven og stranden.                                                                                                                                    Energimærke:                                                        Delevenlig                                                                                                                        Forudbetalt leje: 8.955                                  Depositum: 26.865                                  A/C-forbrug: 800                              Ledig: Straks                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1370580"
5.300 kr/md,Under 1 år,Værelse,Aarhus C,10 m²,1 værelser,"Værelse, Fredensgade, 8000 Aarhus C.                          Har et dejligt værelse til leje.  Vi er et lille bofællesskab i centrum af Aarhus C (Sanna 33 og Ole 27) Vi søger en ny roomie fra nu. Værelset er cirka 10 m2, lejen er inklusiv vand, varme og internet.  Lejligheden er 150 m2, vi har en stor stue, et lækkert køkken med opvaskemaskine, køleskab og fryser. Og så er der badeværelse med vaskesøjle Denne lejlighed bør man virkelig se!                                                                                                                                                                                      Forudbetalt leje: 0                                  Depositum: 6.000                                  A/C-forbrug: Kontakt udlejer                              Ledig: Straks                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1453083"
4.200 kr/md,Ubegrænset,Værelse,Aarhus C,12 m²,1 værelser,"Værelse, Christian X's Vej, 8000 Aarhus C.                          Lejligheden er på 114 kvm, og ligger på Christian X's Vej, Viby J.  Huslejen på værelset er 4000 kr + forbrug.  Depositum er 3 måneders husleje, en måneds forudbetalt husleje samt første måneds husleje, alt i alt ligger den på ca. 20.000kr. I lejligheden er der opvaskemaskine, vaskemaskine og tørretumbler. Lejligheden består af 3 soveværelser, et stort toilet ,stor køkken/stue område samt en skøn altan. Derudover er der en cykelkælder, et depotrum samtidig med at der er mulighed for at tilkøbe sig en P-plads i parkeringskælderen. Fra den 01.08.2018 udlejes et andet værelse på 12 kvm med mulighed for skabsplads i fællesarealet. Der er gode mulighed for offentlig transport ind til Århus Centrum som kun ligger 4 km fra lejligheden. Du kommer til at bo sammen med en ung frisk fyr på 21, som læser på VIA design. Han er socialt anlagt og nyder hyggestunder, men respekterer også privatliv og en lukket dør. Så hvis det lyder som noget for dig, så send lige en besked med lidt informationer om dig selv                                                                                                                                                                                      Forudbetalt leje: 0                                  Depositum: 20.000                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. august 2019                                  Indrykket: 25. februar 2019                              Husdyr tilladt                               Sagsnummer: 1452982"
3.050 kr/md,Ubegrænset,Værelse,Silkeborg,14 m²,1 værelser,"Værelse, Lupinvej, 8600 Silkeborg.                          Værelse udlejes i stor lejlighed, centralt i Silkeborg.  Der deles køkken samt badeværelse. Køkkenet er rummeligt med spiseplads og gode faciliteter. Lejen er inkl. internet og forbrug.  Lejemålet er ideelt til en studerende, der har tænkt sig at blive hængende et par år :)  Skriv en besked til mig med lidt info om dig selv, så hører du fra mig.                                                                                                                                                                                      Forudbetalt leje: 0                                  Depositum: 3.050                                  A/C-forbrug: Kontakt udlejer                              Ledig: 15. marts 2019                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1408337"
2.500 kr/md,1 år og mere,Værelse,Risskov,10 m²,1 værelser,"Værelse, Vikærsvej, 8240 Risskov.                          Er du vores nye roomie?  Vi søger en glad og udadvendt roomie, som kan lide at hyggesnakke hen over madlavningen, konkurrere om at være lejlighedens spilmester, diskutere stort som småt og ellers nyde fordelene ved at bo tre mennesker under samme tag. Lyder det som dig, og er du 23+ år, har boet ude og har lyst til at  være social i hverdagen, så læs endelig videre. Hvem skal du bo med? Nanna og Heidi.   Nanna er gymnastik instruktør og 27 år. Hun er altid klar på at vende hverdagens begivenheder og bringer hygge over varme til  lejligheden. Heidi er en snakkesalig, rejselysten 26-årig, som konstant finder på nye små projekter til forbedring af lejligheden (nogle mere vellykkede end andre). For at lære os bedre at kende invitere vi dig gerne forbi lejligheden til en kop te/kaffe. 4-værelseslejlighed på 102 m2 i Risskov fordelt på 2 plan. Fælles stue og køkken i stueetagen, og 3 værelser på 1. salen.  Værelset er ca. 10 m2. Lejen er 2.500 kr. pr. måned inkl. forbrug, dog kommer internet og tv derudover. Lejeperioden er som udgangspunkt halvandet år. Der er fælles vaskeri, 150 m til nærmeste supermarked, 50 m til en pizzamand og Risskov Hallen ligger 5 min. derfra. 3 km til universitet. Både 18, 1a og 6a kører lige ved siden af. Gode parkeringsforhold, hvis du har bil. Der vil ikke være mulighed for at søge boligstøtte. Vi glæder os til at høre fra dig :)                                                                                                                                                                                      Forudbetalt leje: 0                                  Depositum: 7.500                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. april 2019                                  Indrykket: 25. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1456619"
11.500 kr/md,1 år og mere,Hus/villa,Skanderborg,102 m²,4 værelser,"Hus/villa, 8660 Skanderborg.                          Antal værelser: 4  Antal m2: 102  Husleje. 11.500 kr.  Post nummer: 8660  By: Skanderborg                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: Kontakt udlejer                                  A/C-forbrug: 1.500                              Ledig: Straks                                  Indrykket: 25. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1455540"
4.000 kr/md,Under 1 år,Delebolig,Brabrand,50 m²,1 værelser,"Delebolig, Byleddet, 8220 Brabrand, etage: Kælderen.                          Antal værelser: 1  Antal m2: 50  Husleje. 4.000 kr.  Post nummer: 8220  By: Brabrand                                                                                                                                            Lejemålet udlejes møbleret                                                Forudbetalt leje: 4.000                                  Depositum: 8.000                                  A/C-forbrug: 500                              Ledig: Straks                                  Indrykket: 25. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1506448"
